cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2024-01,4001547.0,4148.0,4505.0,9507.0,4945.0,3838.0,4032.0,5858.0,3221.0,1826.0,5367.0,7656.0
2024-02,3752462.0,5032.0,5899.0,1802.0,3076.0,4019.0,3949.0,4399.0,5776.0,5884.0,5628.0,
2024-03,4165363.0,4898.0,4310.0,1860.0,3352.0,6667.0,8579.0,9470.0,4540.0,4955.0,,
2024-04,3864951.0,4250.0,8404.0,2567.0,5299.0,3995.0,2920.0,6088.0,4833.0,,,
2024-05,3919900.0,8048.0,5118.0,1516.0,4570.0,4556.0,5760.0,4903.0,,,,
2024-06,3939072.0,3829.0,4913.0,4216.0,8347.0,6175.0,4899.0,,,,,
2024-07,3939022.0,4518.0,6403.0,4075.0,3056.0,6580.0,,,,,,
2024-08,3835033.0,3476.0,4015.0,2711.0,12813.0,,,,,,,
2024-09,3781677.0,3365.0,6438.0,6849.0,,,,,,,,
2024-10,3964053.0,8327.0,2605.0,,,,,,,,,
2024-11,3884112.0,3943.0,,,,,,,,,,
2024-12,3880004.0,,,,,,,,,,,
