cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2024-01,100.0,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
2024-02,100.0,0.1,0.2,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,
2024-03,100.0,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.2,,
2024-04,100.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,,,
2024-05,100.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,,
2024-06,100.0,0.1,0.2,0.1,0.2,0.2,0.1,,,,,
2024-07,100.0,0.1,0.2,0.1,0.1,0.1,,,,,,
2024-08,100.0,0.1,0.1,0.1,0.2,,,,,,,
2024-09,100.0,0.1,0.1,0.1,,,,,,,,
2024-10,100.0,0.1,0.1,,,,,,,,,
2024-11,100.0,0.1,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,
