Pickup Location,total_rides,completed,avg_booking_value,avg_vtat,ndf_count,completion_rate_pct,ndf_rate_pct
Khandsa,949,600,511.33,8.38,61,63.2,6.4
Barakhamba Road,946,594,518.47,8.45,58,62.8,6.1
Saket,931,557,474.02,8.6,65,59.8,7.0
Badarpur,921,567,521.01,8.74,62,61.6,6.7
Pragati Maidan,920,538,503.84,8.36,70,58.5,7.6
Madipur,919,579,497.26,8.31,63,63.0,6.9
AIIMS,918,562,526.22,8.28,63,61.2,6.9
Mehrauli,915,574,484.95,8.24,71,62.7,7.8
Dwarka Sector 21,914,565,510.57,8.32,68,61.8,7.4
Pataudi Chowk,907,556,536.88,8.5,80,61.3,8.8
Tilak Nagar,900,556,507.59,8.5,59,61.8,6.6
Shivaji Park,900,561,508.66,8.57,44,62.3,4.9
Udyog Vihar,897,539,531.02,8.4,62,60.1,6.9
Greater Kailash,895,555,489.02,8.51,61,62.0,6.8
Vishwavidyalaya,895,554,511.86,8.46,48,61.9,5.4
Kanhaiya Nagar,895,572,492.23,8.4,55,63.9,6.1
Tagore Garden,889,544,525.96,8.49,65,61.2,7.3
Subhash Chowk,887,582,518.72,8.66,62,65.6,7.0
Inderlok,887,559,533.37,8.39,54,63.0,6.1
Jasola,887,543,508.7,8.52,56,61.2,6.3
Malviya Nagar,885,557,502.24,8.49,46,62.9,5.2
Nehru Place,885,533,502.02,8.3,61,60.2,6.9
Jahangirpuri,884,562,505.78,8.27,65,63.6,7.4
Ashok Park Main,884,568,515.2,8.58,60,64.3,6.8
Jor Bagh,884,545,512.38,8.65,68,61.7,7.7
Rajiv Nagar,884,539,490.94,8.48,55,61.0,6.2
Noida Film City,883,559,513.38,8.45,53,63.3,6.0
New Colony,881,537,523.08,8.48,59,61.0,6.7
Nawada,880,531,471.02,8.39,68,60.3,7.7
Lok Kalyan Marg,880,564,507.26,8.6,57,64.1,6.5
Samaypur Badli,879,559,511.15,8.37,60,63.6,6.8
IGI Airport,879,560,492.27,8.66,41,63.7,4.7
ITO,878,551,533.65,8.58,55,62.8,6.3
Mansarovar Park,877,538,494.93,8.68,64,61.3,7.3
