Customer ID,recency_days,frequency,monetary_ocv,R,F,M,rfm_score,rfm_segment
CID1000119,287,1,0.0,1,1,1,111,Lost
CID1000157,178,1,0.0,3,1,1,311,Potential Loyalist
CID1000234,95,1,458.0,3,1,3,313,Potential Loyalist
CID1000323,283,1,1498.0,1,1,4,114,Lost
CID1000434,2,1,0.0,4,1,1,411,Potential Loyalist
CID1000448,303,1,448.0,1,1,3,113,Lost
CID1000469,323,1,419.0,1,1,3,113,Lost
CID1000583,266,1,0.0,2,1,1,211,Hibernating
CID1000588,18,1,253.0,4,1,2,412,Potential Loyalist
CID1000710,109,1,957.0,3,1,4,314,Potential Loyalist
CID1000804,135,1,603.0,3,1,4,314,Potential Loyalist
CID1000829,236,1,0.0,2,1,1,211,Hibernating
CID1000836,229,1,78.0,2,1,2,212,Hibernating
CID1000862,249,1,127.0,2,1,2,212,Hibernating
CID1000892,171,1,883.0,3,1,4,314,Potential Loyalist
CID1000930,66,1,0.0,4,1,1,411,Potential Loyalist
CID1000949,109,1,405.0,3,1,3,313,Potential Loyalist
CID1000955,319,1,0.0,1,1,1,111,Lost
CID1000971,267,1,0.0,2,1,1,211,Hibernating
CID1001022,237,1,0.0,2,1,1,211,Hibernating
CID1001114,120,1,1448.0,3,1,4,314,Potential Loyalist
CID1001157,24,1,642.0,4,1,4,414,Potential Loyalist
CID1001214,35,1,0.0,4,1,1,411,Potential Loyalist
CID1001250,322,1,66.0,1,1,2,112,Lost
CID1001276,312,1,0.0,1,1,1,111,Lost
CID1001358,9,1,813.0,4,1,4,414,Potential Loyalist
CID1001414,72,1,0.0,4,1,1,411,Potential Loyalist
CID1001436,341,1,976.0,1,1,4,114,Lost
CID1001483,48,1,929.0,4,1,4,414,Potential Loyalist
CID1001485,80,1,0.0,4,1,1,411,Potential Loyalist
CID1001487,344,1,782.0,1,1,4,114,Lost
CID1001625,145,1,114.0,3,1,2,312,Potential Loyalist
CID1001716,293,1,0.0,1,1,1,111,Lost
CID1001738,12,1,678.0,4,1,4,414,Potential Loyalist
CID1001873,302,1,0.0,1,1,1,111,Lost
CID1001937,299,1,510.0,1,1,3,113,Lost
CID1001964,130,1,0.0,3,1,1,311,Potential Loyalist
CID1001980,349,1,0.0,1,1,1,111,Lost
CID1002049,122,1,168.0,3,1,2,312,Potential Loyalist
CID1002086,248,1,0.0,2,1,1,211,Hibernating
CID1002110,166,1,0.0,3,1,1,311,Potential Loyalist
CID1002195,98,1,201.0,3,1,2,312,Potential Loyalist
CID1002334,16,1,728.0,4,1,4,414,Potential Loyalist
CID1002362,27,1,234.0,4,1,2,412,Potential Loyalist
CID1002564,222,1,0.0,2,1,1,211,Hibernating
CID1002578,262,1,1070.0,2,1,4,214,Hibernating
CID1002627,346,1,66.0,1,1,2,112,Lost
CID1002686,24,1,0.0,4,1,1,411,Potential Loyalist
CID1002696,28,1,204.0,4,1,2,412,Potential Loyalist
CID1002701,303,1,389.0,1,1,3,113,Lost
CID1002773,17,1,957.0,4,1,4,414,Potential Loyalist
CID1002787,350,1,0.0,1,1,1,111,Lost
CID1002854,180,1,0.0,3,1,1,311,Potential Loyalist
CID1002894,82,1,171.0,4,1,2,412,Potential Loyalist
CID1002913,31,1,345.0,4,1,3,413,Potential Loyalist
CID1002931,121,1,619.0,3,1,4,314,Potential Loyalist
CID1003148,332,1,718.0,1,1,4,114,Lost
CID1003183,224,1,1660.0,2,1,4,214,Hibernating
CID1003222,170,1,0.0,3,1,1,311,Potential Loyalist
CID1003306,218,1,362.0,2,1,3,213,Hibernating
CID1003343,124,1,0.0,3,1,1,311,Potential Loyalist
CID1003436,364,1,0.0,1,1,1,111,Lost
CID1003454,257,1,0.0,2,1,1,211,Hibernating
CID1003721,323,1,590.0,1,1,4,114,Lost
CID1003853,170,1,0.0,3,1,1,311,Potential Loyalist
CID1003871,121,1,913.0,3,1,4,314,Potential Loyalist
CID1003884,149,1,0.0,3,1,1,311,Potential Loyalist
CID1004053,89,1,0.0,4,1,1,411,Potential Loyalist
CID1004088,307,1,329.0,1,1,3,113,Lost
CID1004319,233,1,197.0,2,1,2,212,Hibernating
CID1004454,2,1,104.0,4,1,2,412,Potential Loyalist
CID1004464,282,1,433.0,1,1,3,113,Lost
CID1004550,354,1,0.0,1,1,1,111,Lost
CID1004618,31,1,0.0,4,1,1,411,Potential Loyalist
CID1004677,0,1,161.0,4,1,2,412,Potential Loyalist
CID1004692,116,1,790.0,3,1,4,314,Potential Loyalist
CID1004780,304,1,801.0,1,1,4,114,Lost
CID1004784,329,1,0.0,1,1,1,111,Lost
CID1004787,148,1,536.0,3,1,3,313,Potential Loyalist
CID1004802,291,1,277.0,1,1,2,112,Lost
CID1004833,76,1,0.0,4,1,1,411,Potential Loyalist
CID1004846,6,1,110.0,4,1,2,412,Potential Loyalist
CID1004879,267,1,306.0,2,1,3,213,Hibernating
CID1004961,238,1,0.0,2,1,1,211,Hibernating
CID1005085,68,1,0.0,4,1,1,411,Potential Loyalist
CID1005092,241,1,0.0,2,1,1,211,Hibernating
CID1005204,154,1,1569.0,3,1,4,314,Potential Loyalist
CID1005235,77,1,270.0,4,1,2,412,Potential Loyalist
CID1005242,198,1,526.0,2,1,3,213,Hibernating
CID1005245,180,1,0.0,3,1,1,311,Potential Loyalist
CID1005380,358,1,0.0,1,1,1,111,Lost
CID1005419,286,1,293.0,1,1,2,112,Lost
CID1005465,129,1,0.0,3,1,1,311,Potential Loyalist
CID1005577,190,1,1140.0,2,1,4,214,Hibernating
CID1005609,65,1,0.0,4,1,1,411,Potential Loyalist
CID1005758,6,1,0.0,4,1,1,411,Potential Loyalist
CID1005768,267,1,473.0,2,1,3,213,Hibernating
CID1005780,231,1,595.0,2,1,4,214,Hibernating
CID1005809,135,1,0.0,3,1,1,311,Potential Loyalist
CID1005837,65,1,777.0,4,1,4,414,Potential Loyalist
CID1005868,277,1,181.0,1,1,2,112,Lost
CID1005967,211,1,197.0,2,1,2,212,Hibernating
CID1005969,170,1,1362.0,3,1,4,314,Potential Loyalist
CID1005970,127,1,0.0,3,1,1,311,Potential Loyalist
CID1006195,345,1,0.0,1,1,1,111,Lost
CID1006209,29,1,0.0,4,1,1,411,Potential Loyalist
CID1006244,59,1,135.0,4,1,2,412,Potential Loyalist
CID1006259,98,1,451.0,3,1,3,313,Potential Loyalist
CID1006265,188,1,222.0,2,1,2,212,Hibernating
CID1006298,199,1,0.0,2,1,1,211,Hibernating
CID1006331,324,1,552.0,1,1,3,113,Lost
CID1006457,293,1,555.0,1,1,3,113,Lost
CID1006588,112,1,547.0,3,1,3,313,Potential Loyalist
CID1006600,97,1,90.0,3,1,2,312,Potential Loyalist
CID1006621,358,1,1286.0,1,1,4,114,Lost
CID1006677,153,1,0.0,3,1,1,311,Potential Loyalist
CID1006682,300,1,0.0,1,1,1,111,Lost
CID1006720,101,1,625.0,3,1,4,314,Potential Loyalist
CID1006790,270,1,724.0,2,1,4,214,Hibernating
CID1006935,259,1,0.0,2,1,1,211,Hibernating
CID1007107,260,1,0.0,2,1,1,211,Hibernating
CID1007112,72,1,109.0,4,1,2,412,Potential Loyalist
CID1007117,208,1,183.0,2,1,2,212,Hibernating
CID1007201,18,1,115.0,4,1,2,412,Potential Loyalist
CID1007489,35,1,137.0,4,1,2,412,Potential Loyalist
CID1007503,125,1,145.0,3,1,2,312,Potential Loyalist
CID1007593,341,1,839.0,1,1,4,114,Lost
CID1007629,190,1,0.0,2,1,1,211,Hibernating
CID1007791,265,1,799.0,2,1,4,214,Hibernating
CID1007802,60,1,818.0,4,1,4,414,Potential Loyalist
CID1008015,18,1,0.0,4,1,1,411,Potential Loyalist
CID1008079,145,1,177.0,3,1,2,312,Potential Loyalist
CID1008198,277,2,572.0,1,4,3,143,Lost
CID1008248,198,1,775.0,2,1,4,214,Hibernating
CID1008269,275,1,124.0,1,1,2,112,Lost
CID1008317,324,1,276.0,1,1,2,112,Lost
CID1008357,64,1,1133.0,4,1,4,414,Potential Loyalist
CID1008497,80,1,904.0,4,1,4,414,Potential Loyalist
CID1008514,295,1,540.0,1,1,3,113,Lost
CID1008526,96,1,336.0,3,1,3,313,Potential Loyalist
CID1008572,264,1,0.0,2,1,1,211,Hibernating
CID1008579,210,1,779.0,2,1,4,214,Hibernating
CID1008640,61,1,496.0,4,1,3,413,Potential Loyalist
CID1008784,210,2,307.0,2,4,3,243,At Risk
CID1008837,5,1,0.0,4,1,1,411,Potential Loyalist
CID1008847,160,1,415.0,3,1,3,313,Potential Loyalist
CID1009023,87,1,111.0,4,1,2,412,Potential Loyalist
CID1009167,24,1,0.0,4,1,1,411,Potential Loyalist
CID1009240,79,1,146.0,4,1,2,412,Potential Loyalist
CID1009390,144,1,1710.0,3,1,4,314,Potential Loyalist
CID1009511,85,1,169.0,4,1,2,412,Potential Loyalist
CID1009584,229,1,1223.0,2,1,4,214,Hibernating
CID1009751,306,1,905.0,1,1,4,114,Lost
CID1009801,336,1,642.0,1,1,4,114,Lost
CID1009944,61,1,463.0,4,1,3,413,Potential Loyalist
CID1009995,259,1,0.0,2,1,1,211,Hibernating
CID1010248,40,1,221.0,4,1,2,412,Potential Loyalist
CID1010299,129,1,420.0,3,1,3,313,Potential Loyalist
CID1010326,302,1,0.0,1,1,1,111,Lost
CID1010339,72,1,0.0,4,1,1,411,Potential Loyalist
CID1010414,124,1,529.0,3,1,3,313,Potential Loyalist
CID1010421,349,1,172.0,1,1,2,112,Lost
CID1010450,229,1,859.0,2,1,4,214,Hibernating
CID1010486,36,1,84.0,4,1,2,412,Potential Loyalist
CID1010547,184,1,164.0,2,1,2,212,Hibernating
CID1010678,278,1,325.0,1,1,3,113,Lost
CID1010699,54,1,120.0,4,1,2,412,Potential Loyalist
CID1010727,270,1,2367.0,2,1,4,214,Hibernating
CID1010821,308,1,102.0,1,1,2,112,Lost
CID1010852,139,1,83.0,3,1,2,312,Potential Loyalist
CID1010919,216,1,972.0,2,1,4,214,Hibernating
CID1010931,71,1,0.0,4,1,1,411,Potential Loyalist
CID1010963,213,1,0.0,2,1,1,211,Hibernating
CID1010970,29,1,1600.0,4,1,4,414,Potential Loyalist
CID1010986,308,1,0.0,1,1,1,111,Lost
CID1011103,160,1,619.0,3,1,4,314,Potential Loyalist
CID1011187,270,1,369.0,2,1,3,213,Hibernating
CID1011265,194,1,242.0,2,1,2,212,Hibernating
CID1011312,329,1,193.0,1,1,2,112,Lost
CID1011546,277,1,0.0,1,1,1,111,Lost
CID1011547,22,1,682.0,4,1,4,414,Potential Loyalist
CID1011557,104,1,111.0,3,1,2,312,Potential Loyalist
CID1011597,332,1,266.0,1,1,2,112,Lost
CID1011795,73,1,0.0,4,1,1,411,Potential Loyalist
CID1011892,220,1,0.0,2,1,1,211,Hibernating
CID1011895,75,1,225.0,4,1,2,412,Potential Loyalist
CID1011912,184,1,0.0,2,1,1,211,Hibernating
CID1011914,104,1,0.0,3,1,1,311,Potential Loyalist
